Copybook;Categoria;Qtd Fontes;Fontes que referenciam
PDD12014;2-DADOS/BANCO (WSD/PDD);5;OGAA013D, OGAA255D, OGAA615D, OGAA640D, OGAA792D
PDD21004;2-DADOS/BANCO (WSD/PDD);5;OGAA255D, OGAA640D, OGAA792D, OGAA920D, PGAA100D
SEECDT00;9-LIB DMS;5;FGAA012D, FGAA015, OGAA013D, OGAA018D, OGAA640D
WSALG001;7-ALGORITMO;5;OGAA018D, OGAA640D, OGEV630D, OGEV635D, OGEV720D
WSD01061;2-DADOS/BANCO (WSD/PDD);5;OGAA018D, OGAA255D, OGAA615D, OGAA640D, OGAA792D
WSD12014;2-DADOS/BANCO (WSD/PDD);5;OGAA013D, OGAA255D, OGAA615D, OGAA640D, OGAA792D
WSD21004;2-DADOS/BANCO (WSD/PDD);5;OGAA255D, OGAA640D, OGAA792D, OGAA920D, PGAA100D
PDD01011;2-DADOS/BANCO (WSD/PDD);4;OGAA013D, OGAA018D, OGAA792D, OGEV050D
PDD01036;2-DADOS/BANCO (WSD/PDD);4;OGAA018D, OGAA255D, OGAA640D, OGAA792D
PDD01139;2-DADOS/BANCO (WSD/PDD);4;OGAA255D, OGAA640D, OGAA792D, OGEV005D
PDD01144;2-DADOS/BANCO (WSD/PDD);4;OGAA013D, OGAA018D, OGAA640D, OGEV005D
PDD12016;2-DADOS/BANCO (WSD/PDD);4;OGAA615D, OGEV050D, OGEV630D, OGEV635D
WSD01011;2-DADOS/BANCO (WSD/PDD);4;OGAA013D, OGAA018D, OGAA792D, OGEV050D
WSD01036;2-DADOS/BANCO (WSD/PDD);4;OGAA018D, OGAA255D, OGAA640D, OGAA792D
WSD01139;2-DADOS/BANCO (WSD/PDD);4;OGAA255D, OGAA640D, OGAA792D, OGEV005D
WSD01144;2-DADOS/BANCO (WSD/PDD);4;OGAA013D, OGAA018D, OGAA640D, OGEV005D
WSD12016;2-DADOS/BANCO (WSD/PDD);4;OGAA615D, OGEV050D, OGEV630D, OGEV635D
PDBLQ007;3-BLOQUEIO;3;OGAA018D, OGAA255D, OGAA640D
PDBLQ023;3-BLOQUEIO;3;OGAA018D, OGAA255D, OGAA640D
PDBLQ028;3-BLOQUEIO;3;OGAA018D, OGAA255D, OGAA640D
PDD01002;2-DADOS/BANCO (WSD/PDD);3;OGAA018D, OGAA255D, OGAA640D
PDD01006;2-DADOS/BANCO (WSD/PDD);3;OGAA013D, OGAA018D, OGEV005D
PDD01014;2-DADOS/BANCO (WSD/PDD);3;OGAA018D, OGAA255D, OGAA640D
PDD01035;2-DADOS/BANCO (WSD/PDD);3;OGAA255D, OGAA640D, OGAA792D
PDD01069;2-DADOS/BANCO (WSD/PDD);3;OGAA018D, OGAA255D, OGAA640D
PDD01077;2-DADOS/BANCO (WSD/PDD);3;OGAA018D, OGAA255D, OGAA640D
PDD01093;2-DADOS/BANCO (WSD/PDD);3;OGAA018D, OGAA255D, OGAA640D
PDD01097;2-DADOS/BANCO (WSD/PDD);3;OGAA013D, OGAA018D, OGAA640D
PDD01159;2-DADOS/BANCO (WSD/PDD);3;OGAA255D, OGAA640D, OGAA792D
PDD01160;2-DADOS/BANCO (WSD/PDD);3;OGAA255D, OGAA640D, OGAA792D
PDD01161;2-DADOS/BANCO (WSD/PDD);3;OGAA018D, OGAA255D, OGAA640D
PDD12002;2-DADOS/BANCO (WSD/PDD);3;FGEV006D, OGEV020D, OGEV021D
PDD12008;2-DADOS/BANCO (WSD/PDD);3;OGEV050D, OGEV630D, OGEV635D
SEECDTPD;9-LIB DMS;3;OGAA013D, OGAA018D, OGAA640D
WSBLQ007;3-BLOQUEIO;3;OGAA018D, OGAA255D, OGAA640D
WSBLQ023;3-BLOQUEIO;3;OGAA018D, OGAA255D, OGAA640D
WSBLQ028;3-BLOQUEIO;3;OGAA018D, OGAA255D, OGAA640D
WSD01002;2-DADOS/BANCO (WSD/PDD);3;OGAA018D, OGAA255D, OGAA640D
WSD01006;2-DADOS/BANCO (WSD/PDD);3;OGAA013D, OGAA018D, OGEV005D
WSD01014;2-DADOS/BANCO (WSD/PDD);3;OGAA018D, OGAA255D, OGAA640D
WSD01035;2-DADOS/BANCO (WSD/PDD);3;OGAA255D, OGAA640D, OGAA792D
WSD01069;2-DADOS/BANCO (WSD/PDD);3;OGAA018D, OGAA255D, OGAA640D
WSD01077;2-DADOS/BANCO (WSD/PDD);3;OGAA018D, OGAA255D, OGAA640D
WSD01093;2-DADOS/BANCO (WSD/PDD);3;OGAA018D, OGAA255D, OGAA640D
WSD01097;2-DADOS/BANCO (WSD/PDD);3;OGAA013D, OGAA018D, OGAA640D
WSD01159;2-DADOS/BANCO (WSD/PDD);3;OGAA255D, OGAA640D, OGAA792D
WSD01160;2-DADOS/BANCO (WSD/PDD);3;OGAA255D, OGAA640D, OGAA792D
WSD01161;2-DADOS/BANCO (WSD/PDD);3;OGAA018D, OGAA255D, OGAA640D
WSD12002;2-DADOS/BANCO (WSD/PDD);3;FGEV006D, OGEV020D, OGEV021D
WSD12008;2-DADOS/BANCO (WSD/PDD);3;OGEV050D, OGEV630D, OGEV635D
COFI01;9-OUTROS;2;OGAA792D, OGEV005D
COFI03;9-OUTROS;2;OGAA792D, OGEV005D
PDADM029;6-ADMINISTRACAO;2;OGAA640D, OGAA792D
PDBLQ026;3-BLOQUEIO;2;FGAT006D, FGAT030D
PDBLQ031;3-BLOQUEIO;2;OGAA018D, OGAA640D
PDD01003;2-DADOS/BANCO (WSD/PDD);2;OGAA018D, OGAA615D
PDD01004;2-DADOS/BANCO (WSD/PDD);2;OGAA018D, OGAA640D
PDD01007;2-DADOS/BANCO (WSD/PDD);2;OGAA018D, OGEV005D
PDD01013;2-DADOS/BANCO (WSD/PDD);2;OGAA255D, OGAA640D
PDD01046;2-DADOS/BANCO (WSD/PDD);2;OGAA018D, OGAA640D
PDD01050;2-DADOS/BANCO (WSD/PDD);2;OGAA255D, OGAA640D
PDD01051;2-DADOS/BANCO (WSD/PDD);2;OGAA255D, OGAA640D
PDD01055;2-DADOS/BANCO (WSD/PDD);2;OGAA255D, OGAA640D
PDD01058;2-DADOS/BANCO (WSD/PDD);2;OGAA920D, PGAA100D
PDD01101;2-DADOS/BANCO (WSD/PDD);2;OGAA255D, OGAA640D
PDD01140;2-DADOS/BANCO (WSD/PDD);2;OGAA255D, OGAA640D
PDD01152;2-DADOS/BANCO (WSD/PDD);2;OGAA255D, OGAA640D
PDD01154;2-DADOS/BANCO (WSD/PDD);2;OGAA018D, OGAA640D
PDD12001;2-DADOS/BANCO (WSD/PDD);2;OGAA255D, OGAA640D
PDD12013;2-DADOS/BANCO (WSD/PDD);2;OGAA615D, OGEV720D
PDD12019;2-DADOS/BANCO (WSD/PDD);2;OGAA255D, OGAA640D
PDD21001;2-DADOS/BANCO (WSD/PDD);2;OGAA920D, PGAA100D
PDFUR001;4-FURTO;2;FGAA012D, FGAA032D
PDFUR022;4-FURTO;2;FGAA012D, FGAA032D
PDFUR023;4-FURTO;2;FGAA012D, FGAA032D
WSADM029;6-ADMINISTRACAO;2;OGAA640D, OGAA792D
WSBLQ026;3-BLOQUEIO;2;FGAT006D, FGAT030D
WSBLQ031;3-BLOQUEIO;2;OGAA018D, OGAA640D
WSD01003;2-DADOS/BANCO (WSD/PDD);2;OGAA018D, OGAA615D
WSD01004;2-DADOS/BANCO (WSD/PDD);2;OGAA018D, OGAA640D
WSD01007;2-DADOS/BANCO (WSD/PDD);2;OGAA018D, OGEV005D
WSD01013;2-DADOS/BANCO (WSD/PDD);2;OGAA255D, OGAA640D
WSD01046;2-DADOS/BANCO (WSD/PDD);2;OGAA018D, OGAA640D
WSD01050;2-DADOS/BANCO (WSD/PDD);2;OGAA255D, OGAA640D
WSD01051;2-DADOS/BANCO (WSD/PDD);2;OGAA255D, OGAA640D
WSD01055;2-DADOS/BANCO (WSD/PDD);2;OGAA255D, OGAA640D
WSD01058;2-DADOS/BANCO (WSD/PDD);2;OGAA920D, PGAA100D
WSD01101;2-DADOS/BANCO (WSD/PDD);2;OGAA255D, OGAA640D
WSD01140;2-DADOS/BANCO (WSD/PDD);2;OGAA255D, OGAA640D
WSD01152;2-DADOS/BANCO (WSD/PDD);2;OGAA255D, OGAA640D
WSD01154;2-DADOS/BANCO (WSD/PDD);2;OGAA018D, OGAA640D
WSD12001;2-DADOS/BANCO (WSD/PDD);2;OGAA255D, OGAA640D
WSD12013;2-DADOS/BANCO (WSD/PDD);2;OGAA615D, OGEV720D
WSD12019;2-DADOS/BANCO (WSD/PDD);2;OGAA255D, OGAA640D
WSD21001;2-DADOS/BANCO (WSD/PDD);2;OGAA920D, PGAA100D
WSFUR001;4-FURTO;2;FGAA012D, FGAA032D
WSFUR022;4-FURTO;2;FGAA012D, FGAA032D
WSFUR023;4-FURTO;2;FGAA012D, FGAA032D
AUMI01;9-OUTROS;1;OGAA255D
COFI10;9-OUTROS;1;OGEV005D
EMIS02;9-OUTROS;1;OGAA640D
EMIS03;9-OUTROS;1;OGAA640D
EMPA03;9-OUTROS;1;OGAA792D
EMPB01;9-OUTROS;1;OGAA792D
PDBLQ008;3-BLOQUEIO;1;FGAA115D
PDBLQ011;3-BLOQUEIO;1;OGAA640D
PDD01008;2-DADOS/BANCO (WSD/PDD);1;OGAA018D
PDD01009;2-DADOS/BANCO (WSD/PDD);1;OGAA018D
PDD01022;2-DADOS/BANCO (WSD/PDD);1;OGAA640D
PDD01024;2-DADOS/BANCO (WSD/PDD);1;OGAA640D
PDD01032;2-DADOS/BANCO (WSD/PDD);1;OGEV005D
PDD01041;2-DADOS/BANCO (WSD/PDD);1;OGAA018D
PDD01072;2-DADOS/BANCO (WSD/PDD);1;OGAA615D
PDD01076;2-DADOS/BANCO (WSD/PDD);1;OGAA018D
PDD01099;2-DADOS/BANCO (WSD/PDD);1;OGAA640D
PDD01103;2-DADOS/BANCO (WSD/PDD);1;OGAA640D
PDD01112;2-DADOS/BANCO (WSD/PDD);1;OGAA640D
PDD01116;2-DADOS/BANCO (WSD/PDD);1;OGAA018D
PDD01117;2-DADOS/BANCO (WSD/PDD);1;OGAA640D
PDD01136;2-DADOS/BANCO (WSD/PDD);1;OGAA018D
PDD01137;2-DADOS/BANCO (WSD/PDD);1;OGAA640D
PDD01150;2-DADOS/BANCO (WSD/PDD);1;OGAA018D
PDD06004;2-DADOS/BANCO (WSD/PDD);1;OGAA920D
